dlga_start:dialognotused|error
dlga_infiltracja_walka:infiltracja_walka_2|To co sprawdzimy się?
dlga_infiltracja_walka_2:close_window|Zaczynajmy.
dlga_infiltracja_walka_2:close_window.1|E, nie teraz.
dlga_infiltracja_3:close_window.1|E, żegnam.
dlga_infiltracja_2:infiltracja_1_main|Racja, wyglądacie na mocarnego, wybaczcie mi. Co mogę dla was zrobić?
dlga_infiltracja_1_main:infiltracja_7|Zaprowadź mnie do swoich kamratów, chcę się z nimi rozmówić.[Perswazja]
dlga_infiltracja_7:infiltracja_7a|Jakże to tak? Wiesz o co prosisz? 
dlga_infiltracja_7a:infiltracja_7ap|Ruszaj, jestem przyjacielem twego herszta.
dlga_infiltracja_7ap:close_window|Może to i prawda, z gęby to jakby podobny... kto wie, kto wie... siodłaj kulbakę, pojedziem.
dlga_infiltracja_7ap:infiltracja_1_main|Ha, jeszcze czego! Łżesz jak pies, jak Boga kocham! Nasz herszt to człek wielkich talentów i równie wielkiej mądrości, nie wchodzi w komitywę z takimi jak ty.
dlga_infiltracja_1_main:infiltracja_3a|Potrzebuję wiedzieć jedną, gdzie są twoi kamraci?[Przekupstwo]
dlga_infiltracja_3a:infiltracja_3_plac|Heh, myślisz, że od tak możesz prosić o taką rzecz? Prosty człek ze mnie, lecz swoje wiem, tacy jak ty pełny mieszek mają, co? A skoro pełny, to co powiecie aby ulżyć mu nieco? Powiedzmy, ni mniej, ni więcej, cztery okrągłe tysiączki, hę? Wóz albo przewóz, mości... kapitanie?
dlga_infiltracja_3_plac:infiltracja_3_plac1|Stoi. Tu są pieniądze.
dlga_infiltracja_3_plac1:close_window|Kryjówka znajduje się nieopodal stąd w lesie. Winniście znaleźć ją bez trudu... a teraz zostawcie mnie w spokoju, muszę przygotować się do drogi... długiej drogi.
dlga_infiltracja_3_plac:infiltracja_3_plac2|Nie mam teraz pieniędzy.
dlga_infiltracja_3_plac2:close_window|Pieniędzy? Jakich pieniędzy? Niczego nie pamiętam...
dlga_infiltracja_1_main:close_window|Nic, żegnam.
dlga_infiltracja_1:close_window|Może i pomyłka, bywajcie.
dlga_start:ramun_introduce_1|Good day to you, {young man/lassie}.
dlga_ramun_introduce_1:ramun_introduce_2|Forgive me, you look like a trader, but I see none of your merchandise.
dlga_ramun_introduce_1:close_window|Never mind.
dlga_ramun_introduce_2:ramun_introduce_3|A trader? Oh, aye, I certainly am that. My merchandise is a bit different from most, however. It has to be fed and watered twice a day and tries to run away if I turn my back.
dlga_ramun_introduce_3:ramun_introduce_4|Livestock?
dlga_ramun_introduce_4:ramun_introduce_5|Close enough. I like to call myself the man who keeps every boat on this ocean moving. Boats are driven by oars, you see, and oars need men to pull them or they stop. That's where I come in.
dlga_ramun_introduce_5:ramun_introduce_6|Galley slaves.
dlga_ramun_introduce_6:ramun_introduce_7|Now you're catching on! A trading port like this couldn't survive without them. The ships lose a few hands on every voyage, so there's always a high demand. The captains come to me and they pay well.
dlga_ramun_introduce_7:ramun_introduce_8|Where do the slaves come from?
dlga_ramun_introduce_8:ramun_introduce_9|Mostly I deal in convicted criminals bought from the authorities. Others are prisoners of war from various nations, brought to me because I offer the best prices. However, on occasion I'll buy from privateers and other . . . 'individuals'. You can't be picky about your suppliers in this line of work. You wouldn't happen to have any prisoners with you, would you?
dlga_ramun_introduce_9:ramun_introduce_10|Me? 
dlga_ramun_introduce_10:ramun_introduce_11|Why not? If you intend to set foot outside this town, you're going to cross swords with someone sooner or later. And, God willing, you'll come out on top. Why not make some extra money off the whole thing? Take them alive, bring them back to me, and I'll pay you fifty denars for each head. Don't much care who they are or where they come from.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm. I'll think about it.
dlga_ramun_introduce_12:close_window|Do think about it! There's a lot of silver to be made, no mistake. More than enough for the both of us.
dlga_start:ramun_talk|Hello, {playername}.
dlga_ramun_pre_talk:ramun_talk|Anything else?
dlga_ramun_talk:ramun_sell_prisoners|I've brought you some prisoners, Ramun. Would you like a look?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Let me see what you have...
dlga_ramun_sell_prisoners_2:close_window|A pleasure doing business with you.
dlga_ramun_talk:ramun_ask_about_capturing|How do I take somebody as prisoner?
dlga_ramun_talk:ramun_ask_about_capturing.1|Can you tell me again about capturing prisoners?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|You're new to this, aren't you? Let me explain it in simple terms. The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a mace or a club, rather than cutting him open with a sword. That way he goes to sleep for a little while rather than bleeding to death, you see? I'm assuming you have a blunt weapon with you . . .
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Of course.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|As a matter of fact, I don't.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Good. Then all you need to do is beat the bugger down with your weapon, and when the fighting's over you clap him in irons. It's a bit different for nobles and such, they tend to be protected enough that it won't matter what kind of weapon you use, but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp. I don't have many requirements in my merchandise, but I do insist they be breathing when I buy them.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|No? Heh, well, this must be your lucky day. I've got an old club lying around that I was going to throw away. It a bit battered, but still good enough bash someone until he stops moving. Here, have it.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Thanks, Ramun. Perhaps I may try my hand at it.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Alright, I'll try and expain it again in simple terms. The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a mace or a club, rather than cutting him open with a sword. That way he goes to sleep for a little while rather than bleeding to death, you see? It's a bit different for nobles and such, they tend to be protected enough that it won't matter what kind of weapon you use, but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Alright, I think I understand. Anything else?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Well, it's not as simple as all that. Blunt weapons don't do as much damage as sharp ones, so they won't bring your enemies down as quickly. And trust me, given the chance, most of the scum you run across would just as soon kill you as look at you, so don't expect any courtesy when you pull out a club instead of a sword. Moreover, having to drag prisoners to and fro will slow down your party, which is why some people simply set their prisoners free after the fighting's done. It's madness. How could anyone turn down all that silver, eh?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Is that everything?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Just one final thing. Managing prisoners safely is not an easy thing to do, you could call it a skill in itself. If you want to capture a lot of prisoners, you should try and learn the tricks of it yourself, or you won't be able to hang on to a single man you catch.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Thanks, I'll keep it in mind.
dlga_ramun_talk:ramun_leave|I'd better be going.
dlga_ramun_leave:close_window|Remember, any prisoners you've got, bring them to me. I'll pay you good silver for every one.
dlga_start:close_window.59|I humbly request that your lordship keeps his hands where I can see them.
dlga_start:close_window.60|Bądźcie pewni, że wkrótce więcej nas ruszy do walki!
dlga_start:close_window.61|Dozbroimy okoliczną ludność. Już wkrótce ujrzycie nowe oddziały.
dlga_start:close_window.62|{s20}
dlga_start:atakujpatrol|{s20}
dlga_atakujpatrol:atakujpatrol2|Poddajcie się albo gińcie!
dlga_atakujpatrol:close_window|Nic, żegnam.
dlga_atakujpatrol2:close_window|{s20}
dlga_start:patrolspotkaj|{s20}, {s21}
dlga_patrolspotkaj:close_window|Podążajcie za mną.
dlga_patrolspotkaj:close_window.1|Udajcie sie w swoją stronę.
dlga_patrolspotkaj:patrolsprzedaj|Pochwyciłem kilku łotrów.
dlga_patrolspotkaj:patrolspotkaj3|Nic, żegnam.
dlga_patrolspotkaj3:close_window|Niczego, żegnam.
dlga_start:manhunter_talk_b|Hey, you there! You seen any outlaws around here?
dlga_manhunter_talk_b:manhunter_talk_b1|Yes, they went this way about an hour ago.
dlga_manhunter_talk_b1:close_window|I knew it! Come on, lads, lets go get these bastards! Thanks a lot, friend.
dlga_manhunter_talk_b:manhunter_talk_b2|No, haven't seen any outlaws lately.
dlga_manhunter_talk_b2:close_window|Bah. They're holed up in this country like rats, but we'll smoke them out yet. Sooner or later.
dlga_start:rabusie_1|{s20}
dlga_start:rabusie_2|{s20}
dlga_rabusie_1:rabusie_1_walcz|Będziemy walczyć do końca.
dlga_rabusie_1_walcz:close_window|Nie poddamy się, ni tanio skóry nie sprzedamy.
dlga_rabusie_1:close_window|Poddajemy się.
dlga_rabusie_2:rabusie_2_walcz|Poddajcie się albo gińcie!
dlga_rabusie_2_walcz:close_window|Poddajcie się albo gińcie!
dlga_rabusie_2:close_window|Nic, już czas na nas.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|I'm not afraid of you lot. Fight me if you dare!
dlga_looters_2:close_window.1|You'll have nothing of mine but cold steel, scum.
dlga_start:village_farmer_talk| My {lord/lady}, we're only poor farmers from the village of {s11}. {reg1?We are taking our products to the market at {s12}.:We are returning from the market at {s12} back to our village.}
dlga_village_farmer_talk:farmer_bandit_information|I am hunting a group of bandits with the following description... Have you seen them?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|We'll see how poor you are after I take what you've got!
dlga_village_farmer_talk:close_window.1|Carry on, then. Farewell.
dlga_start:minister_issues|I am at your service, {sire/my lady}
dlga_start:close_window.63|It has been an honor to serve you, {sire/my lady}
dlga_start:member_castellan_talk|Yes, {playername}? What can I do for you?
dlga_member_castellan_pretalk:member_castellan_talk|Anything else?
dlga_member_castellan_talk:member_review_castle_garrison|I want to review the castle garrison.
dlga_member_review_castle_garrison:member_castellan_pretalk|Of course. Here are our lists, let me know of any changes you require...
dlga_member_castellan_talk:member_review_castellan_equipment|Let me see your equipment.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Very well, it's all here...
dlga_member_castellan_talk:member_castellan_join|I want you to abandon the castle and join my party.
dlga_member_castellan_join:close_window|I've grown quite fond of the place... But if it is your wish, {playername}, I'll come with you.
dlga_member_castellan_join:member_castellan_pretalk|And where would we sleep? You're dragging a whole army with you, {playername}, there's no more room for all of us.
dlga_member_castellan_talk:close_window|[Leave]
dlga_member_chat:kidnapped_girl_chat_1|Are we home yet?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Not yet.
dlga_kidnapped_girl_chat_2:close_window|I can't wait to get back. I've missed my family so much, I'd give anything to see them again.
dlga_member_chat:member_lady_1|{playername}, when do you think we can reach our destination?
dlga_member_lady_1:member_lady_2a|We still have a long way ahead of us.
dlga_member_lady_1:member_lady_2b|Very soon. We're almost there.
dlga_member_lady_2a:close_window|Ah, I am going to enjoy the road for a while longer then. I won't complain. I find riding out in the open so much more pleasant than sitting in the castle all day. You know, I envy you. You can live like this all the time.
dlga_member_lady_2b:close_window|That's good news. Not that I don't like your company, but I did miss my little luxuries. Still I am sorry that I'll leave you soon. You must promise me, you'll come visit me when you can.
dlga_member_chat:supported_pretender_talk|Greetings, {playername}, my first and foremost vassal. I await your counsel.
dlga_supported_pretender_pretalk:supported_pretender_talk|Anything else?
dlga_supported_pretender_talk:pretender_progress|What do you think about our progress so far?
dlga_pretender_progress:pretender_progress_2|{reg11?We have {reg11} lords on our side:We have no lord with us yet}, whereas {reg21?{s9} still has {reg21} lords supporting him:{s9} has no loyal lords left}. {reg19?We control {reg13?{reg13} towns:} {reg14?{reg14} castles:} {reg15?and {reg15} villages:}:We don't control any settlements}, while {reg29?they have {reg23?{reg23} towns:} {reg24?{reg24} castles:} {reg25?and {reg25} villages:}:they have no remaining settlements}. Overall, {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Then, we must keep fighting and rally our supporters!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|It seems this rebellion is not going anywhere. We must give up.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, you can't abandon me now. Are you serious?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Indeed, I am. I can't support you any longer.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|I was jesting. I will fight for you until we succeed.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Are you absolutely sure? I will never forgive you if you abandon my cause.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|I am sure.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Let me think about this some more.
dlga_pretender_quit_rebel:close_window|So be it. Then my cause is lost. There is only one thing to do for me now. I will go from Calradia and never come back. With me gone, you may try to make your peace with {s4}.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?My lady:My lord}, would you allow me to check out your equipment?
dlga_supported_pretender_equip:supported_pretender_pretalk|Very well, it's all here...
dlga_supported_pretender_talk:pretneder_view_char_requested|If it would please you, can you tell me about your skills?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Well, all right.
dlga_supported_pretender_talk:supported_pretender_grant_fief|I suggest that you decide who should hold a fief that does not have a lord.
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Which fief did you have in mind?
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|And who should receive it?
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Never mind.
dlga_supported_pretender_talk:close_window|Let us keep going, {reg65?my lady:sir}.
dlga_do_member_trade:member_talk|Anything else?
dlga_member_pretalk:member_talk|Anything else?
dlga_member_chat:member_talk|Yes, {s5}?
dlga_member_talk:member_direct_campaign|As marshal, I wish you to send a message to the vassals of the realm
dlga_member_talk:zdarzenie1_2|Dostałem na  was skargę.
dlga_zdarzenie1_2:zdarzenie1_3|Wasi towarzysze broni, skarżą się, że z towarzyszami pijecie podczas służby i bezczelnie kradniecie jedzenie.
dlga_zdarzenie1_3:zdarzenie1_4|My? Kradniemy? Łgają jak psy mości panie, nie dawajcie im wiary! To oni na każdym postoju chędożą bez miary. Sami się już o zadki boimy i po nocach spać nie możemy. Ja rozumiem, że czasem trzeba, ale ta rozpusta tryprem się skończy i tyle z tego będzie... a co do tej wódki, to faktycznie... ale niewiele, zwiększcie nam żołd o 100 złociszy, a z pewnością gorzałki do ust nie weźmiemy.
dlga_zdarzenie1_4:close_window|Zgoda. 
dlga_zdarzenie1_4:zdarzenie1_5_2|Jakże to tak zmieniać umowę?
dlga_zdarzenie1_5_2:close_window|Co prawda, to prawda. Niech wam będzie, umowa po staremu, a my ograniczymy picie...
dlga_zdarzenie1_5_2:zdarzenie1_4|To rekompensata z tytułu strat moralnych, mam nadzieję, że rozumiecie to...
dlga_zdarzenie1_4:zdarzenie1_5_3|Nie zgadzam się.
dlga_zdarzenie1_5_3:close_window|Zwiększyć wam żołdu niestety nie mogę.
dlga_member_talk:member_trade|Let me see your equipment.
dlga_member_trade:do_member_trade|Very well, it's all here...
dlga_member_talk:view_member_char_requested|What can you tell me about your skills?
dlga_view_member_char_requested:do_member_view_char|All right, let me tell you...
dlga_member_talk:member_separate|We need to separate for a while.
dlga_member_separate:member_separate_confirm|Oh really? Well, I'm not just going to wait around here. I'm going to go to the towns to look for other work. Is that what you want?
dlga_member_separate:companion_quitting|Well, actually, there was something I needed to tell you.
dlga_member_separate_confirm:member_separate_yes|That's right. We need to part ways.
dlga_member_separate_confirm:do_member_trade|No, I'd rather have you at my side.
dlga_member_separate_yes:close_window|Well. I'll be off, then. Look me up if you need me.
dlga_member_talk:member_question|I'd like to ask you something.
dlga_member_talk:close_window|Never mind.
dlga_member_question:member_question_2|Very well. What did you want to ask?
dlga_member_question_2:member_morale|How do you feel about the way things are going in this company?
dlga_member_question_2:member_background_recap|Tell me your story again.
dlga_member_question_2:member_kingsupport_1|I suppose you know that I aspire to be {king/queen} of this land?
dlga_member_question_2:member_intelgathering_1|Do you have any connections that we could use to our advantage?
dlga_member_question_2:member_fief_grant_1|Would you be interested in holding a fief?
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Then shortly after, I joined up with you.
dlga_do_member_view_char:member_talk|Anything else?
dlga_member_kingsupport_1:do_member_trade|Um... Yes. I had heard.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Would you then support my cause?
dlga_member_kingsupport_1a:do_member_trade|Very good. I shall keep that in mind.
dlga_member_kingsupport_2:do_member_trade|I would, {s21}. Moreover, I have a proposal on how I might help you attain your throne. But you recently sent {s22} off on a similar mission. Perhaps we should wait for a couple of weeks to avoid drawing too much attention to ourselves.
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Very good. You do that
dlga_member_kingsupport_3a:do_member_trade|On second thought, stay with me for a while
dlga_member_kingsupport_4:close_window|Farewell then, {s21}, for a little while
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Of course, as few people should know of this as possible. If you want to collect the information, or pull me out, then don't send a messenger. Come and get me yourself -- even if that means you have to sneak through the gates.
dlga_member_intelgathering_3:member_intelgathering_4|Splendid idea -- you do that.
dlga_member_intelgathering_3:do_member_trade|Actually, hold off for now.
dlga_member_intelgathering_4:close_window|Good. I should be ready to report in about five days. Farewell then, {s21}, for a little while.
dlga_merchant_quest_4_start:close_window|It's time, lads! Up and at them!
dlga_start:relative_saved_1a|Thank you! Thank you, {sir/my lady}, for rescuing me from those fiends. Did my brother in {s9} put you onto their track?
dlga_relative_saved_1a:close_window|Yes. I told him that I would find you. I advise you to return to your family as quickly as you can -- and be careful on the road.
dlga_start:bandit_leader_1a|Ay! Spare me! Spare my life! Let me go, and I'll go far away from here, and learn an honest trade, and you'll never hear of me again!
dlga_bandit_leader_1a:bandit_leader_1b|I'll spare your life -- but in exchange, I want information. Either you or your mates kidnapped the brother of a prominent merchant in town. Tell me where you're hiding him, and give me your word that you'll stop troubling the people of these parts, and you can go free.
dlga_start:looter_leader_1|What do you want?
dlga_looter_leader_1:looter_leader_2|I've been looking for you. Tell me where you keep your prisoners, and I'll let you go.
dlga_looter_leader_1:close_window|Nothing. We'll leave you in peace.
dlga_looter_leader_2:looter_leader_3|Hah! Those prisoners are only going free if you pay their ransom. Did you bring any silver?
dlga_looter_leader_3:close_window|No, but I brought steel.
dlga_bandit_leader_1b:close_window|Oh bless you, {sir/my lady}. Bless you. We've done the lad no harm. We've been keeping him in our hideout near {s9}. I'll describe the area nearby in detail, so there's no mistaking it...
dlga_start:rescue_prisoner_succeed_2|{playername}, you saved him! Thank you ever so much for rescuing my {s11}. Please, take this as some small repayment for your noble deed.
dlga_rescue_prisoner_succeed_2:lord_pretalk|Always an honour to serve, {s65}.
dlga_start_up_quest_1_next:close_window|Are you all right? Well.... I guess you're alive, at any rate. I'm not sure that we can say the same for the other fellow. That's one less thief to trouble our streets at night, although Heaven knows he won't be the last.... Anyway, maybe you can help me with something. Let's talk more inside. Out here, we don't know who's listening
dlga_start:merchant_quest_2a|Splendid work. You have hired enough men to take on the bandits. Now -- travellers entering {s9} have told us that there is a small group of robbers lurking on the outside of town. I suspect that they are all from the same band, the one that took my brother. Hunt them down and defeat them, and make them disclose the location of their lair!
dlga_start:merchant_quest_3a|So, you've found out where they hid my brother? Splendid work. I flatter myself that I'm a fine judge of character, and you look to be a {man/woman} who can get things done. Now, go out and save his unworthy hide!
dlga_start:merchant_quest_3b|Well... My brother is home safe. I'm not sure what to do with him -- maybe pack him off to a university outside Calradia. That way, if he gets knocked on the head in a street brawl, no one can say it's my fault. But that's not your problem. Here's the rest of your reward. It was well-earned.
dlga_merchant_quest_3b:merchant_quest_4a|The money is most welcome, and I am glad to have been of service
dlga_merchant_quest_4a:merchant_quest_4b|Good! Now... Are you interested in making some more?
dlga_merchant_quest_4b:merchant_quest_4b1|Possibly. What do you need?
dlga_merchant_quest_4b1:merchant_quest_4b2|Remember how I told you that the bandits had an ally inside the walls? I think I know who it is -- the captain of the watch, no less. Some months ago this captain, seeing the amount of profit we merchants were making from trade across the frontiers, decided to borrow some money to sponsor a caravan. Unfortunately, like many who are new to commerce, he failed to realize that great profit only comes with great risk. So he sank all his money into the most expensive commodities, and of course his caravan was captured and looted, and he lost everything.
dlga_merchant_quest_4b2:merchant_quest_4b3|As a consequence, it seems, our captain turned to villainy to recoup his fortune. I supposed I'd do the same if, the Heavens forbid, I ever faced indebtedness and ruination. Now, any watch captain worth his salary will have a few thieves and robbers on his payroll, to inform on the rest, but our captain decides to employ these bastards wholesale. He brings them into the town, lets them do as they will, and takes a share of their take. You've heard of poachers turning gamekeepers? Well, in the unfortunate land of Calradia, sometimes gamekeepers will turn poacher. Luckily, there's are still a few brave, honest souls in the watch who've told me how he works.
dlga_merchant_quest_4b3:merchant_quest_4b4|Now -- here's my plan. I could bring this to the attention of {s4}, lord of the city, but that would mean an inquiry, my word against the captain's, and witnesses can be bought and evidence destroyed, or maybe the whole thing will be forgotten if the enemy comes across the border again, and all I'll get for my trouble is a knife in the ribs. In time of war, you see, a king's eye wanders far from his domain, and his subjects suffer. So I've got another idea. I've got a small group of townsfolk together, some men in my employ and some others who've lost relatives to these bandits, and we'll storm the captain's home and bring him in chains before {s4}, hopefully with a few captured bandits to explain how things stack up.
dlga_merchant_quest_4b4:merchant_quest_4b5|All I need now is someone to lead my little army into battle -- and I can't think of anyone better than you. So, what do you say?
dlga_merchant_quest_4b5:merchant_quest_4b6|How do I know that you're telling me the truth?
dlga_merchant_quest_4b6:merchant_quest_4b7|Oh, well, I suppose it's possible that I found a dozen bandits who were willing to give their lives to give a passing stranger a false impression of life in old {s4}... Well, I guess you can't really know if my word is good, but I reckon you've learned by now that my money is good, and there's another 100 denars, or maybe a bit more, that's waiting for you if you'll do me this last little favor. So what do you say?
dlga_merchant_quest_4b7:merchant_quest_4b8|All right. I'll lead your men.
dlga_merchant_quest_4b7:merchant_quest_4_decline|I'm sorry. This is too much, too fast. I need time to think.
dlga_merchant_quest_4b8:merchant_quest_4b9|Splendid. It's been a long time since I staked so much on a single throw of the dice, and frankly I find it exhilarating. My men are ready to move on your word. Are you ready?
dlga_merchant_quest_4b9:merchant_quest_4_accept|Yes. Give them the sign.
dlga_merchant_quest_4b9:merchant_quest_4_decline|Not now. I will need to rest before I can fight again.
dlga_merchant_quest_4_accept:close_window|Good! Now -- strike hard, strike fast, and the captain and his henchmen won't know what hit them. May the heavens be with you!
dlga_merchant_quest_4_decline:close_window|Right. I can keep my men standing by. If you let this go too long, then I suppose that I shall have to finish this affair without you, but I would be most pleased if you could be part of it as well. For now, take what time you need.
dlga_merchant_quest_2a:close_window|Very well. I shall hunt for bandits.
dlga_merchant_quest_2a:merchant_quest_2a_whynotcome|Why don't you come with us?
dlga_merchant_quest_2a_whynotcome:merchant_quest_2a|Because I'm paying you to go take care of it. That's the short answer. The long answer is that I've got some leads to follow up here in town, and I have just as much chance of getting knocked on my head as you, if that's what you're asking. But I respect your question. Now, what do you say?
dlga_merchant_quest_2a:close_window.1|I cannot deal with this matter at this time.
dlga_merchant_quest_3a:close_window|Very well. I go now to attack the bandits in their lair, and find your brother.
dlga_merchant_quest_3a:close_window.1|I cannot deal with this matter at this time.
dlga_start:merchant_quest_persuasion|You may do as you wish, {sir/my lady}, but I am disappointed. You would do well to reconsider. I am a rich men, and would show you my gratitude in coin.
dlga_merchant_quest_persuasion:merchant_quest_1_prologue_3|You make a persuasive case. I will help you.
dlga_merchant_quest_persuasion:merchant_quest_2|You make a persuasive case. I will help you.
dlga_merchant_quest_persuasion:merchant_quest_3|You make a persuasive case. I will help you.
dlga_merchant_quest_persuasion:merchant_quest_4b8|You make a persuasive case. I will help you.
dlga_merchant_quest_persuasion:close_window|As I say, I have more important business elsewhere.
dlga_merchant_quest_2:merchant_quest_2a|Now -- go find and defeat that group of bandits.
dlga_merchant_quest_3:merchant_quest_3a|Now -- go attack that bandit hideout, get my brother back, and show those brigands what happens to those who threaten my household.
dlga_start:close_window.66|Oh -- thank the heavens... Thank the heavens... Am I safe?
dlga_start:merchant_closing_statement_2|Ah... {playername}. Things didn't go quite so well as I had hoped. {s5} couldn't quite find it in him to overlook my little breach of the peace. Oh, he's grateful enough that I got rid of his crooked captain -- a guard who'll let in bandits will let in an enemy army, if the price is right -- but he can't exactly have me running around here as a lasting reminder of his failure to take care of things himself.
dlga_merchant_closing_statement_2:merchant_closing_statement_3|That hardly seems fair...
dlga_merchant_closing_statement_3:merchant_closing_statement_4|Fair? This is Calradia, {my boy/my lady}! Kings do what they will, and the rest of us do as they must. He didn't string me up, and instead gave me time to sell my properties -- even put in a word with the other merchants that they best pay me a fair price, too. That's gracious enough, as kings go -- but he's a weak king, as they all are here, and weak kings must always look to their authority first, and justice second. I suppose I'd do the same, in his shoes.
dlga_merchant_closing_statement_4:close_window|Anyway, I wouldn't go rubbing your part in this affair in {s5}'s face -- but he's taken note of you, and decided that you're not worth hanging, and that's something to which I'll raise a glass any day of the week. He might even have work for you, further down the road. Or, you can sell your sword to one of his competitors. Anyway, I hope you've learned a bit about what it will take to stay alive in this troubled land, and I suspect that the money you've earned won't go to waste. Good luck.
dlga_merchant_quests_last_word:close_window|I am preparing to leave town in a short while. It's been an honor to know you. Good luck.
dlga_member_intel_liaison:member_intel_liaison_results|What have you discovered?
dlga_start:member_intel_liaison|Greetings, stranger.
dlga_member_intel_liaison:close_window|It's time to pull you out. Let's leave town separately, but join me soon after
dlga_member_intel_liaison:close_window.1|You're doing good work. Stay here for a little longer
dlga_member_intel_liaison_results:member_intel_liaison|{s11} I notice that you have been keeping some notes about individual lords. I have annotated those with my findings.
dlga_start:qk_konspirator|Czołem, wyście jest ten co flinty miał nam dostarczyć?
dlga_qk_konspirator:qk_konspirator_a|Czołem, jestem {playername}. Przywiozłem wam broń.
dlga_qk_konspirator_a:close_window|Znakomicie! Z pewnością ten zasili wasza dostawa carski arsenał. Brać go!
dlga_qk_konspirator:qk_konspirator_b|Wpierw mówcie z kim mam sprawę. 
dlga_qk_konspirator_b:close_window|Godna pochwały ostrożność, jednak poniewczasie. Brać go! 
dlga_start:qkp_konspirator|Czołem, wyście jest ten co flinty miał nam dostarczyć?
dlga_qkp_konspirator:qkp_konspirator_a|Czołem, jestem {playername}. Przywiozłem wam broń.
dlga_qkp_konspirator_a:close_window|Wybornie, zostanie rozdzielona między powstańców. Będziemy oczekiwali sygnału do rozpoczęcia walki.
dlga_member_fief_grant_1:member_fief_grant_2|Which fief did you have in mind?
dlga_member_fief_grant_2:member_fief_grant_3|{s11}
dlga_member_fief_grant_2:do_member_trade|Never mind -- there is no fief I can offer.
dlga_member_fief_grant_3:close_window|{s5}
dlga_start:close_window.67|Let's leave whenever you are ready.
dlga_start:close_window.68|Please do not waste any more of my time today, {sir/madame}. Perhaps we shall meet again in our travels.
dlga_start:companion_recruit_intro_response|{s5}
dlga_companion_recruit_intro_response:companion_recruit_backstory_a|{s6}
dlga_companion_recruit_intro_response:close_window|{s7}
dlga_companion_recruit_backstory_a:companion_recruit_backstory_b|{s5}
dlga_companion_recruit_backstory_b:companion_recruit_backstory_c|{s5}
dlga_companion_recruit_backstory_c:companion_recruit_backstory_response|{s5}
dlga_companion_recruit_backstory_response:companion_recruit_signup|{s6}
dlga_companion_recruit_backstory_response:close_window|{s7}
dlga_companion_recruit_signup:companion_recruit_signup_b|{s5}
dlga_companion_recruit_signup_b:companion_recruit_signup_response|{s5}
