qstr_Kłódka|Kłódka
qstr_Batalion_piechoty_gw|Batalion piechoty gwardii
qstr_Regiment_lekkiej_pie|Regiment lekkiej piechoty
qstr_Batalion_grenadieró|Batalion grenadierów
qstr_Brygada_kawalerii_gw|Brygada kawalerii gwardii
qstr_Pułk_lekkiej_kawale|Pułk lekkiej kawalerii
qstr_Brak|Brak
qstr_Masz_za_mało_pieni�|Masz za mało pieniędzy
qstr_Koszt:_{reg0}^Budże|Koszt: {reg0}^Budżet: {reg1}
qstr_MaraudersTactic|MaraudersTactic
qstr_charge!!!!!!!!!!!!!!|charge!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
qstr_CavalryVsCavalry:_{r|CavalryVsCavalry: {reg0}
qstr_dists:_{reg0}_{reg1}|dists: {reg0} {reg1}
qstr_chargeee!!!!!!!!!!!!|chargeee!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
qstr_InfantryVsInfantry:_|InfantryVsInfantry: {reg0}
qstr_CavalryVsInfantry:_{|CavalryVsInfantry: {reg0}
qstr_Manifest_możesz_wyg|Manifest możesz wygłosić w ciągu dnia, gdy w karczmie jest większy ruch.
qstr_Do_wiadomości_tu_ob|Do wiadomości tu obecnym, w imieniu Naczelnika Tadeusza Kościuszki, następujący uniwersał ogłaszam.
qstr_Podług_prawa_obwies|Podług prawa obwieszcza się, iż osoba wszelkiego włościanina jest wolna, ...
qstr_a_lud_pozostaje_pod_|a lud pozostaje pod opieką Rządu Krajowego, oraz ulżenia w robociznach ma następujące...
qstr_...któryby_podstaro|...któryby podstarościc czy ekonom wykroczył przeciw zarządzeniu i czyniłby uciążliwości ludowi...
qstr_wzięty_ma_być_i_pr|wzięty ma być i przed Sąd Kryminalny stawiony.
qstr_Przebywający_w_karc|Przebywający w karczmie żołnierze, przerywają odczyt manifestu...
qstr_Przebywający_w_karcz|Przebywający w karczmie emisariusz, przerywa odczyt uniwersału...
qstr_Imperium|Imperium
qstr_Królestwa|Królestwa
qstr_Monarchii|Monarchii
qstr_Paskudna|Paskudna
qstr_Parszywa|Parszywa
qstr_piwo_zacne_w_tej_mie|piwo zacne w tej mieścinie mają, wasze zdrowie dobrzy ludzie!
qstr_miód_przedni__w_oko|miód przedni  w okolicy mają
qstr_napić_się_można_w|napić się można w dobrej kompanii
qstr_Do_czorta|Do czorta
qstr_Do_diabła|Do diabła
qstr_Zaraza|Zaraza
qstr_diabli_wezmą_dalsz�|diabli wezmą dalszą drogę.
qstr_nie_ujadę_tyle_coby|nie ujadę tyle coby na popas stanąć w karczmie u Jankiela.
qstr_Cholera|Cholera
qstr_Eh|Eh
qstr_Święci_pańscy|Święci pańscy
qstr_w_zamtuzie_zabawić_|w zamtuzie zabawić nieco, nawet tego nie idzie
qstr_iść_ryby_na_targ_k|iść ryby na targ kupić, znowu stara kijem obije
qstr_siedzieć_na_rzyci|siedzieć na rzyci
qstr_siedzieć_i_nosa_z_d|siedzieć i nosa z domu nie wystawiać
qstr_bezczynnie_stać_jak|bezczynnie stać, jakież marnotrawstwo czasu
qstr_towary_nie_dojadą_n|towary nie dojadą na czas
qstr_towarów_nie_dostarc|towarów nie dostarczą i ino straty będą
qstr_handel_podupadnie_a_|handel podupadnie, a babka mówiła, że sucha wiosna idzie
qstr_dzieci_dom_mi_roznio|dzieci dom mi rozniosą
qstr_nie_będę_mogła_pl|nie będę mogła pleć grządek
qstr_chłopi_na_targ_grz�|chłopi na targ grząskimi traktami nie zjadą
qstr_gdzie_się_durny_wł|gdzie się durny włóczy po deszczu
qstr_pewno_piwsko_chleje_|pewno piwsko chleje w szynku i o dziatkach, ni świecie nie pamięta
qstr_licho_wie_gdzie_jest|licho wie gdzie jest i z kim to się zadaję, nauczę rozumu gdy wróci
qstr_tyle_deszczu_było|tyle deszczu było
qstr_padało_tyle|padało tyle
qstr_lało_od_świtu_do_n|lało od świtu do nocy
qstr_za_mojego_życia_nie|za mojego życia nie pamiętam
qstr_nie_było_nigdy_wcze|nie było nigdy wcześniej
qstr_10_lat_nie_było|10 lat nie było
qstr_pewnikiem_wszystkie_|pewnikiem wszystkie trakty zamokną
qstr_trakty_znowuż_niepr|trakty znowuż nieprzejezdne będą
qstr_znowu_stać_i_czeka�|znowu stać i czekać nam przyjdzie, bez pożytku nijakiego
qstr_W_krzyżu_łomie|W krzyżu łomie
qstr_W_kościach_łomie|W kościach łomie
qstr_eh_żyć_się_odechc|eh, żyć się odechciewa
qstr_kiedyż_wreszcie_pad|kiedyż wreszcie padać przestanie.
qstr_zamokniętej_marchew|zamokniętej marchewki
qstr_zamokniętego_grochu|zamokniętego grochu
qstr_mokrych_kartofli|mokrych kartofli
qstr_Psia_mać|Psia mać
qstr_do_wszystkich_diabł|do wszystkich diabłów
qstr_sobaczy_los|sobaczy los
qstr_Piwa|Piwa
qstr_Wina|Wina
qstr_Wódki|Wódki
qstr_taką|taką
qstr_parszywą|parszywą
qstr_psią|psią
qstr_ale_kiesa_pusta|ale kiesa pusta
qstr_lecz_grosza_nie_ma|lecz grosza nie ma
qstr_Czołem|Czołem
qstr_Moje_uszanowanie|Moje uszanowanie
qstr_Czołem_Panie_Bracie|Czołem Panie Bracie
qstr_Witam_waćpana|Witam waćpana
qstr_Wyborne|Wyborne
qstr_Przednie|Przednie
qstr_Wspaniałe|Wspaniałe
qstr_dłużej_w_tym_mieś|dłużej w tym mieście
qstr_jeszcze_kilka_dni|jeszcze kilka dni
qstr_wszystko_co_dobre_sw|wszystko co dobre swój koniec ma, czas w drogę
qstr_Diabli_nadali|Diabli nadali
qstr_mogłoby_popadać|mogłoby popadać
qstr_coś_dawno_nie_pada�|coś dawno nie padało
qstr_Nie_ma_nic_do_robien|Nie ma nic do robienia
qstr_Nic_ciekawego_niema|Nic ciekawego niema
qstr_zaplutej|zaplutej
qstr_parszywej|parszywej
qstr_trunki|trunki
qstr_miody|miody
qstr_wina|wina
qstr_Witam_{s69}.|Witam, {s69}.
qstr_Dzień_dobry.|Dzień dobry.
qstr_Piękny_dziś_mamy_d|Piękny dziś mamy dzień, {s69}.
qstr_na_dzisiejszy_bal|na dzisiejszy bal
qstr_na_dzisiejszą_kolac|na dzisiejszą kolację
qstr_tylko_w_Paryżu_pię|tylko w Paryżu piękne można kupić
qstr_piękna|piękna
qstr_cudowna|cudowna
qstr_znakomita|znakomita
qstr_piknik|piknik
qstr_przejażdżkę_kolas|przejażdżkę kolasą za miasto
qstr_spacer|spacer
qstr_Dobry_dzień.|Dobry dzień.
qstr_Kłaniam_się_nisko.|Kłaniam się nisko.
qstr_Witam.|Witam.
qstr_Dobry.|Dobry.
qstr_Do_licha|Do licha
qstr_Doskonała_pogoda|Doskonała pogoda
qstr_Świetna_pogoda|Świetna pogoda
qstr_Znakomita_pogoda|Znakomita pogoda
qstr_piwo|piwo
qstr_ryby|ryby
qstr_grzyby|grzyby
qstr_wizytę_w_szynku|wizytę w szynku
qstr_w_tym_kraju|w tym kraju
qstr_w_tym_województwie|w tym województwie
qstr_tutaj|tutaj
qstr_Niech_to_licho|Niech to licho
qstr_zrobiłbym_wszystko|zrobiłbym wszystko
qstr_oddałbym_życie|oddałbym życie
qstr_zwodowałem_wczoraj_|zwodowałem wczoraj szkutę ze zbożem pod Sandomierzem
qstr_coraz_więcej_płót|coraz więcej płótna się  sprzedaje
qstr_otworzyłem_nowy_skl|otworzyłem nowy sklep we Lwowie
qstr_dobre_plony_były_w_|dobre plony były w roku ubiegłym
qstr_Chłopi_mi_uciekają|Chłopi mi uciekają z folwarku
qstr_długi_mam_u_tutejsz|długi mam u tutejszego lichwiarza
qstr_duszno|duszno
qstr_straszna_duchota|straszna duchota
qstr_parno|parno
qstr_Piękny_dzionek|Piękny dzionek
qstr_Wspaniała_pogoda|Wspaniała pogoda
qstr_Tak_gorąco|Tak gorąco
qstr_No_dalej|No dalej
qstr_Dalej|Dalej
qstr_nicponie|nicponie
qstr_łajdaki|łajdaki
qstr_święta|święta
qstr_parady|parady
qstr_hołota|hołota
qstr_plebs|plebs
qstr_gałgany|gałgany
qstr_tchórze|tchórze
qstr_We_Francji|We Francji
qstr_We_Włoszech|We Włoszech
qstr_W_Anglii|W Anglii
qstr_ERROR:_[waveStart]_r|ERROR: [waveStart] region == -1
qstr_INFO:_[waveStart]_{s|INFO: [waveStart] {s0} started wave towards {s1}
qstr_INFO:_[waveUpdate][{|INFO: [waveUpdate][{reg1}] wave will last for {reg0} hours
qstr_{reg0}/{reg1}|{reg0}/{reg1}
qstr_{reg0}_size:_{reg1}|{reg0} size: {reg1}
qstr_{s0}_considered_capt|{s0} considered captured...
qstr_{reg0}_is_next_targe|{reg0} is next target
qstr_{s1}_to_attack_{s0}|{s1} to attack {s0}
qstr_{s25}_{s0}|{s25}, {s0}
qstr_{s26}_{s1}|{s26}, {s1}
qstr_Imperium_Rosyjskiego|Imperium Rosyjskiego
qstr_Królestwa_Prus|Królestwa Prus
qstr_Monarchii_Habsburgó|Monarchii Habsburgów
qstr_[etap4Update]:_{reg0|[etap4Update]: {reg0} time: {reg1}
qstr_Stop_sounds...|Stop sounds...
qstr_Podwojna_linia|Podwojna linia
qstr_Nie_możesz_używać_|Nie możesz używać tej formacji z takim wojskiem
qstr_Nie_możesz_użyć_t|Nie możesz użyć tej formacji dla kawalerii.
qstr_Masz_na_sobie_mundur|Masz na sobie mundur. Nie uda ci się tak złapać zdrajców
qstr_Miasto_nie_jest_w_r�|Miasto nie jest w rękach Kościuszkowców. Nie uda ci się tak złapać zdrajców
qstr_Starting_execution..|Starting execution...
qstr_okno|okno
qstr_pies|pies
qstr_dzwony|dzwony
qstr_mucha|mucha
qstr_Egzekucje_odbywają_|Egzekucje odbywają się na przedmieściach miast. Możesz spotkać je wykonując zadania.　Zaczekaj na miejscu na dalszy przebieg zdarzeń.
qstr_Postaci_które_musis|Postaci, które musisz odszukać zawsze przebywają w scenie. Nad ich głowami znajduje się znacznik, ułatwiający poszukiwania.
qstr_Aby_ukończyć_zadan|Aby ukończyć zadanie odnajdź w lokacji zleceniodawcę. Nad  głową postaci zawsze znajduje się znacznik.
qstr_Warchoł_to_postać_|Warchoł to postać znajdująca się w każdym z miast, zarówno w centrum, jak i na przedmieściach. W dowolny czasie możesz stoczyć pojedynek, aby zdobyć pieniądze i renomę.
qstr_DEBUG:_{reg45}_enemi|DEBUG: {reg45} enemies are following player
qstr_Nie_możesz_wyjśc_w|Nie możesz wyjśc w trakcie egzekucji.
qstr_You_got_keys_of_dung|You got keys of dungeon.
qstr_WTF_PLAYER_IS_NOT_AC|WTF, PLAYER IS NOT ACTIVE?
qstr_leaders_{s0}_{s1}|leaders {s0}, {s1}
qstr_AI_formations_initia|AI formations initialized!
qstr_stan_formacji:_{reg0|stan formacji: {reg0}
qstr_ally:_{reg0}_enemy:_|ally: {reg0} enemy: {reg1}
qstr_tactic_distance:_{re|tactic distance: {reg0}
qstr_cav_vs_inf|cav vs inf
qstr_taktyka_1|taktyka 1
qstr_taktyka_2|taktyka 2
qstr_taktyka_3|taktyka 3
qstr_cav_vs_cav|cav vs cav
qstr_inf_vs_inf|inf vs inf
qstr_inf_vs_cav|inf vs cav
qstr_team_{reg0}:_{reg1}|team {reg0}: {reg1}
qstr_Cannons_init|Cannons init
qstr_Spawning_cannon_a|Spawning cannon a
qstr_Spawning_cannon_b|Spawning cannon b
qstr_assigning_{s0}_to_ma|assigning {s0} to marker no {reg0}
qstr_You_must_stay_behind|You must stay behind the line on the ground! Point is not counted.
qstr_Poddajesz_sie|Poddajesz sie
qstr_Poddajesz_się.|Poddajesz się.
qstr_Twoja_runda!|Twoja runda!
qstr_Tutorial|Tutorial
qstr_Klucz_który_posiada|Klucz, który posiadasz nie pasuje do tego zamka. Znajdź inny sposób, aby dostać się do środka.
qstr_Zdobądź_klucz_aby_|Zdobądź klucz, aby otworzyć drzwi.
qstr_Głos_z_wewnątrz:^H|Głos z wewnątrz:^Hej, ludzie! Tutaj! Nie zostawiajcieaaaa...
qstr_Glos_z_wewnatrz:^Hej|Glos z wewnatrz:^Hej, ludzie! Tutaj! Nie zostawiajcieaaaa...
qstr_Coś_mi_się_widzi_�|Coś mi się widzi, że dalej jednak nie pójdziecie...
qstr_Stan:_{reg0}|Stan: {reg0}
qstr_Werbownik_to_postać|Werbownik to postać u której możesz kupować i uzupełniać regimenty. Postać znajduje się w obozie, a także w miastach frakcji do której należysz.
qstr_You_came_into_the_wo|You came into the world a {reg3?daughter:son} of declining nobility, owning only the house in which they lived. However, despite your family's hardships, they afforded you a good education and trained you from childhood for the rigors of aristocracy and life at court.
qstr_You_were_born_the_{r|You were born the {reg3?daughter:son} of travelling merchants, always moving from place to place in search of a profit. Although your parents were wealthier than most and educated you as well as they could, you found little opportunity to make friends on the road, living mostly for the moments when you could sell something to somebody.
qstr_As_a_child_your_fami|As a child, your family scrabbled out a meagre living from your father's wages as a guardsman to the local lord. It was not an easy existence, and you were too poor to get much of an education. You learned mainly how to defend yourself on the streets, with or without a weapon in hand.
qstr_{reg3?daughter:son}|{reg3?daughter:son}
qstr_You_were_the_{reg3?d|You were the {reg3?daughter:son} of a family who lived off the woods, doing whatever they needed to make ends meet. Hunting, woodcutting, making arrows, even a spot of poaching whenever things got tight. Winter was never a good time for your family as the cold took animals and people alike, but you always lived to see another dawn, though your brothers and sisters might not be so fortunate.
qstr_You_were_a_child_of_|You were a child of the steppe, born to a tribe of wandering nomads who lived in great camps throughout the arid grasslands. Like the other tribesmen, your family revered horses above almost everything else, and they taught you how to ride almost before you learned how to walk. 
qstr_As_the_{reg3?daughte|As the {reg3?daughter:son} of a thief, you had very little 'formal' education. Instead you were out on the street, begging until you learned how to cut purses, cutting purses until you learned how to pick locks, all the way through your childhood. Still, these long years made you streetwise and sharp to the secrets of cities and shadowy backways.
qstr_As_a_{reg3?girl:boy}|As a {reg3?girl:boy} growing out of childhood, you were sent to live in the court of one of the nobles of the land. There, your first lessons were in humility, as you waited upon the lords and ladies of the household. But from their chess games, their gossip, even the poetry of great deeds and courtly love, you quickly began to learn about the adult world of conflict and competition. You also learned from the rough games of the other children, who battered at each other with sticks in imitation of their elders' swords.
qstr_As_a_{reg3?girl:boy}_|As a {reg3?girl:boy} growing out of childhood, you apprenticed with a local craftsman to learn a trade. After years of hard work and study under your new master, he promoted you to journeyman and employed you as a fully paid craftsman for as long as you wished to stay.
qstr_As_a_{reg3?girl:boy}_g|As a {reg3?girl:boy} growing out of childhood, you apprenticed to a wealthy merchant, picking up the trade over years of working shops and driving caravans. You soon became adept at the art of buying low, selling high, and leaving the customer thinking they'd got the better deal.
qstr_As_a_{reg3?girl:boy}_gr|As a {reg3?girl:boy} growing out of childhood, you took to the streets, doing whatever you must to survive. Begging, thieving and working for gangs to earn your bread, you lived from day to day in this violent world, always one step ahead of the law and those who wished you ill.
qstr_As_a_{reg3?girl:boy}_gro|As a {reg3?girl:boy} growing out of childhood, you rode the great steppes on a horse of your own, learning the ways of the grass and the desert. Although you sometimes went hungry, you became a skillful hunter and pathfinder in this trackless country. Your body too started to harden with muscle as you grew into the life of a nomad {reg3?woman:man}.
qstr_{reg3?daughter:man}|{reg3?daughter:man}
qstr_Though_the_distincti|Though the distinction felt sudden to you, somewhere along the way you had become a {reg3?woman:man}, and the whole world seemed to change around you. When you were named squire to a noble at court, you practiced long hours with weapons, learning how to deal out hard knocks and how to take them, too. You were instructed in your obligations to your lord, and of your duties to those who might one day be your vassals. But in addition to learning the chivalric ideal, you also learned about the less uplifting side -- old warriors' stories of ruthless power politics, of betrayals and usurpations, of men who used guile as well as valor to achieve their aims.
qstr_{reg3?woman:man}|{reg3?woman:man}
qstr_Though_the_distinctio|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You joined the tightly-knit circle of women at court, ladies who all did proper ladylike things, the wives and mistresses of noble men as well as maidens who had yet to find a husband. However, even here you found politics at work as the ladies schemed for prominence and fought each other bitterly to catch the eye of whatever unmarried man was in fashion at court. You soon learned ways of turning these situations and goings-on to your advantage. With it came the realisation that you yourself could wield great influence in the world, if only you applied yourself with a little bit of subtlety.
qstr_Though_the_distinction|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You set out on your own with nothing except the instrument slung over your back and your own voice. It was a poor existence, with many a hungry night when people failed to appreciate your play, but you managed to survive on your music alone. As the years went by you became adept at playing the drunken crowds in your taverns, and even better at talking anyone out of anything you wanted.
qstr_Though_the_distinction_|Though the distinction felt sudden to you, somewhere along the way you had become a {reg3?woman:man}, and the whole world seemed to change around you. You found yourself as a student in the university of one of the great cities, where you studied theology, philosophy, and medicine. But not all your lessons were learned in the lecture halls. You may or may not have joined in with your fellows as they roamed the alleys in search of wine, women, and a good fight. However, you certainly were able to observe how a broken jaw is set, or how an angry townsman can be persuaded to set down his club and accept cash compensation for the destruction of his shop.
qstr_Though_the_distinction_f|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. Heeding the call of the open road, you travelled from village to village buying and selling what you could. It was not a rich existence, but you became a master at haggling even the most miserly elders into giving you a good price. Soon, you knew, you would be well-placed to start your own trading empire...
qstr_Though_the_distinction_fe|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You pursued a career as a smith, crafting items of function and beauty out of simple metal. As time wore on you became a master of your trade, and fine work started to fetch fine prices. With food in your belly and logs on your fire, you could take pride in your work and your growing reputation.
qstr_Though_the_distinction_fel|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. Dissatisfied with common men's desperate scrabble for coin, you took to your local lord's own forests and decided to help yourself to its bounty, laws be damned. You hunted stags, boars and geese and sold the precious meat under the table. You cut down trees right under the watchmen's noses and turned them into firewood that warmed many freezing homes during winter. All for a few silvers, of course.
qstr_Only_you_know_exactl|Only you know exactly what caused you to give up your old life and become an adventurer. Still, it was not a difficult choice to leave, with the rage burning brightly in your heart. You want vengeance. You want justice. What was done to you cannot be undone, and these debts can only be paid in blood...
qstr_Only_you_know_exactly|Only you know exactly what caused you to give up your old life and become an adventurer. All you can say is that you couldn't bear to stay, not with the memories of those you loved so close and so painful. Perhaps your new life will let you forget, or honour the name that you can no longer bear to speak...
qstr_Only_you_know_exactly_|Only you know exactly what caused you to give up your old life and become an adventurer. You're not even sure when your home became a prison, when the familiar became mundane, but your dreams of wandering have taken over your life. Whether you yearn for some faraway place or merely for the open road and the freedom to travel, you could no longer bear to stay in the same place. You simply went and never looked back...
qstr_Only_you_know_exactly_w|Only you know exactly what caused you to give up your old life and become an adventurer. However, you know you cannot go back. There's nothing to go back to. Whatever home you may have had is gone now, and you must face the fact that you're out in the wide wide world. Alone to sink or swim...
qstr_Only_you_know_exactly_wh|Only you know exactly what caused you to give up your old life and become an adventurer. To everyone else, it's clear that you're now motivated solely by personal gain. You want to be rich, powerful, respected, feared. You want to be the one whom others hurry to obey. You want people to know your name, and tremble whenever it is spoken. You want everything, and you won't let anyone stop you from having it...
qstr_Back_to_the_beginnin|Back to the beginning...
qstr_View_next_segment...|View next segment...
qstr_^No_food:___{reg7}|^No food:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Wage debt:  -{reg6}
qstr_Appoint_next_marshal|Appoint next marshal
qstr_Award_{s12}_as_fief|Award {s12} as fief
qstr_No_one|No one
qstr_Selected_faction_is:|Selected faction is: {s10}^^{s9}
qstr_You_are_currently_re|You are currently reading {s8}.
qstr_You_are_not_reading_|You are not reading any books.
qstr_none|none
qstr_{s5}_and_{s6}|{s5} and {s6}
qstr_Your_estates_are:_{s|Your estates are: {s8}.^{s9}
qstr_Current_party_size_l|Current party size limit is {reg5}.^Current party size modifiers are:^^Base size:  +30^Leadership: {s2}{reg1}^Charisma: {s3}{reg2}^Renown: {s4}{reg3}^TOTAL:  {reg5}
qstr_Lojalni|Lojalni
qstr_Oddani|Oddani
qstr_Lubiący|Lubiący
qstr_Wdzięczni|Wdzięczni
qstr_Przyjaźni|Przyjaźni
qstr_Wspierający|Wspierający
qstr_Życzliwi|Życzliwi
qstr_Współpracujący|Współpracujący
qstr_Akceptujący|Akceptujący
qstr_Obojętni|Obojętni
qstr_Podejrzliwi|Podejrzliwi
qstr_Narzekający|Narzekający
qstr_Wrogo_nastawieni|Wrogo nastawieni
qstr_Niechętni|Niechętni
qstr_Rozgniewani|Rozgniewani
qstr_Nienawidzący|Nienawidzący
qstr_Żądni_zemsty|Żądni zemsty
qstr_Mściwi|Mściwi
qstr_Masz_następujące_r|Masz następujące relacje z frakcjami:^{s2}
qstr_AIPower:_{reg0}_4Eta|AIPower: {reg0}, 4Etap: {reg1}
qstr_czynnik_pogody:_{reg|czynnik pogody: {reg0}
qstr_lost|lost
qstr_won|won
qstr_gave_up|gave up
qstr_Player_renown_is_inc|Player renown is increased by 100. 
qstr_Player_honor_is_incr|Player honor is increased by 1 and it is now {reg7}.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?accept:accepts} the offer.
qstr_No_one_accepts_the_o|No one accepts the offer.
qstr_You_start_reading_{s|You start reading {s2}. After a few pages, you feel you could learn a lot from this book. You decide to keep it close by and read whenever you have the time.
qstr_You_flip_through_the|You flip through the pages of {s2}, but you find the text confusing and difficult to follow. Try as you might, it soon gives you a headache, and you're forced to give up the attempt.
qstr_Napotkałeś_{s1}.|Napotkałeś {s1}.
qstr_Napotkałeś_{s1}_gd|Napotkałeś {s1}, gdy najeżdżał {s3}.
qstr_Zostałeś_złapany_|Zostałeś złapany przez {s1} podczas gdy najeżdżałeś {s3}.
qstr_Zwyciężyłeś!|Zwyciężyłeś!
qstr_Bitwa_przegrana._Two|Bitwa przegrana. Twoje siły zostały zmiażdżone.
qstr_Twoi_towarzysze_wyno|Twoi towarzysze wynoszą cię z pola bitwy.
qstr_Pokonałeś_przeciwn|Pokonałeś przeciwnika.
qstr_Uciekłeś_z_pola_bi|Uciekłeś z pola bitwy.
qstr_^^Straty_sojusznika:|^^Straty sojusznika:{s0}
qstr_{s1}_z_{s3}_zdołał|{s1} z {s3} zdołał uciec.
qstr_Some_of_your_tendons|Some of your tendons have been damaged in the battle. You lose 1 strength.
qstr_You_took_a_nasty_wou|You took a nasty wound which will cause you to limp slightly even after it heals. You lose 1 agility.
qstr_You_have_trouble_thi|You have trouble thinking straight after the battle, perhaps from a particularly hard hit to your head, and frequent headaches now plague your existence. Your intelligence is reduced by 1.
qstr_Perhaps_I_m_getting_|Perhaps I'm getting unlucky...
qstr_Retirement_is_starti|Retirement is starting to sound better and better.
qstr_No_matter!_I_will_pe|No matter! I will persevere!
qstr_What_did_I_do_to_des|What did I do to deserve this?
qstr_I_suppose_it_ll_make|I suppose it'll make for a good story, at least...
qstr_{s9}_wants_you_to_fo|{s9} wants you to follow his army until further notice.
qstr_Jesteś_w_{reg6?mie�|Jesteś w {reg6?mieście:zamku}
qstr_{s8}_of_{s9}|{s8} of {s9}
qstr__Your_own_banner_fli| Your own banner flies over the castle gate.
qstr__You_see_the_banner_| You see the banner of {s7} over the castle gate.
qstr__Your_own_banner_flie| Your own banner flies over the town gates.
qstr__You_see_the_banner_o| You see the banner of {s7} over the town gates.
qstr_Złapałeś_{reg0}/3|Złapałeś {reg0}/3 zdrajców
qstr_The_{reg6?town_s:cas|The {reg6?town's:castle's} food stores should last for {reg3} more days.
qstr_The_{reg6?town_s:cast|The {reg6?town's:castle's} food stores have run out and the defenders are starving.
qstr_You_re_preparing_to_|You're preparing to attack the walls, the work should finish in {reg9} hours.
qstr_Your_forces_are_buil|Your forces are building a siege tower. They estimate another {reg9} hours to complete the build.
qstr_You_are_ready_to_att|You are ready to attack the walls at any time.
qstr_The_siege_tower_is_b|The siege tower is built and ready to make an assault.
qstr_{reg6}|{reg6}
qstr_Spawnuje_artylerzyst|Spawnuje artylerzystow obok {s0}|{s1}
qstr_cos_sie_spierniczylo|cos sie spierniczylo.... error kurde...
qstr_As_a_last_defensive_|As a last defensive effort, you retreat to the main hall of the keep. You and your remaining soldiers will put up a desperate fight here. If you are defeated, there's no other place to fall back to.
qstr_You_ve_been_driven_a|You've been driven away from the walls. Now the attackers are pouring into the streets. IF you can defeat them, you can perhaps turn the tide and save the day.
qstr_You_ve_breached_the_|You've breached the town walls, but the stubborn defenders continue to resist you in the streets! You'll have to deal with them before you can attack the keep at the heart of the town.
qstr_script_give_center_t|script give center to faction 0
qstr_However_since_you_ar|However, since you are not a sworn {man/follower} of {s9}, there is no chance he would recognize you as the {lord/lady} of this {reg8?town:castle}.
qstr_Wróg_został_zmuszo|Wróg został zmuszony do ucieczki. Szturm dobiega końca, lecz oblężenie nadal trwa.
qstr_As_you_approach_you_|As you approach, you are spotted by the castle guards, who welcome you and open the gates for their {king/queen}.
qstr_As_you_approach_you_a|As you approach, you are spotted by the castle guards, who welcome you and open the gates for their {lord/lady}.
qstr_No_one_here_seems_to|No one here seems to be willing to join your party.
qstr_One_{s3}_volunteers_|One {s3} volunteers to follow you.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} volunteer to follow you.
qstr_Try_as_you_might_you|Try as you might, you could not defeat the bandits. Infuriated, they raze the village to the ground to punish the peasants, and then leave the burning wasteland behind to find greener pastures to plunder.
qstr_village|village
qstr_town|town
qstr_castle|castle
qstr_The_{s17}_has_no_imp|The {s17} has no improvements.
qstr_The_{s17}_has_the_fo|The {s17} has the following improvements:{s18}.
qstr_The_assasins_beat_yo|The assasins beat you down and leave you for dead. .
qstr_You_have_fallen._The|You have fallen. The bandits quickly search your body for every coin they can find, then vanish into the night. They have left you alive, if only barely.
qstr_Luckily_some_of_your|Luckily some of your companions come to search for you when you do not return, and find you lying by the side of the road. They hurry you to safety and dress your wounds.
qstr_Luckily_some_passing|Luckily some passing townspeople find you lying by the side of the road, and recognise you as something other than a simple beggar. They carry you to the nearest inn and dress your wounds.
qstr_You_fail_to_steal_an|You fail to steal any cattle.
qstr_You_drive_away_{reg1|You drive away {reg17} {reg12?heads:head} of cattle from the village's herd.
qstr_You_are_at_{s2}.|You are at {s2}.
qstr__This_castle_has_no_| This castle has no garrison.
qstr__This_town_has_no_ga| This town has no garrison.
qstr__You_have_successful| You have successfully sneaked in.
qstr_{s13}_A_tournament_w|{s13} A tournament will be held here soon.
qstr_{reg0}_{s0}_dna:_{re|{reg0} {s0} dna: {reg1}
qstr___{reg1}_talarów_za| ({reg1} talarów za noc)
qstr_Moreover_you_earn_{r|Moreover, you earn {reg8} denars from the clever bets you placed on yourself...
qstr_Victory_is_yours!_Yo|Victory is yours! You have won this melee, but now you must prepare yourself for the next round. 
qstr_You_have_been_bested|You have been bested in this melee, but the master of ceremonies declares a recognition of your skill and bravery, allowing you to take part in the next round. 
qstr_You_were_beaten._The|You were beaten. The peasants are heartened by their success, but the lesson you wanted to teach them probably didn't get through...
qstr_After_beating_your_l|After beating your last opponent, you explain to the peasants how to better defend themselves against such an attack. Hopefully they'll take the experience on board and will be prepared next time.
qstr_The_bandits_are_brok|The bandits are broken! Those few who remain alive and conscious run off with their tails between their legs, terrified of the peasants and their new champion.
qstr_{s1}_s_Ship|{s1}'s Ship
qstr_However_{reg3?You_ar|However, {reg3?You are:{s1} is} unable to find any trade goods that would bring a profit.
qstr_^Buying_{s4}_here_an|^Buying {s4} here and selling it at {s5} would bring a profit of {reg6} denars per item.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?You find:{s1} finds} out the following:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} earned {reg0} experience.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} earned an additional {reg0} experience.
qstr_^You_earned_{reg0}_e|^You earned {reg0} experience.{s2}
qstr_The_training_didn_t_|The training didn't go well at all.
