dlga_start:dialognotused|error, 
dlga_introzad2tukaj5:close_window|If that is so, then go, but you will regret your arrogance. And remember, keep your hands away from the miss, I better not see you nearby her.
dlga_introzad2tukaj3:introzad2tukaj3say2|It's better, that you haven't been there.
dlga_introzad2tukaj3say2:introzad2tukaj4|Pity? It's a good thing you weren't there, we managed to avoid casualties.
dlga_introzad2tukaj4:close_window|What did you say? How dare you, go away or I cannot be responsible for my actions from now on...
dlga_event_triggered:close_window.7|The pleasure is mine, visit me as often as you can.
dlga_event_triggered:close_window.8|Bastard, how could you do this to me? I hate you, go away.
dlga_start:zadanie1koniecojciec|Here we are {playername}, you probably haven't been to Krakow for a long time?
dlga_zadanie1koniecojciec:close_window|Thought so, have a walk around the town, take care of whatever you have to do, then please come over to the corner townhouse right next to the Market, I will be waiting for you there.
dlga_start:zadanie1chlop2gracz|'ullo good man, ye be goin' to the tavern?
dlga_zadanie1chlop2gracz:zadanie1chlop2graczsay1|Exactly so, why?
dlga_zadanie1chlop2graczsay1:zadanie1chlop3|Exactly so, why?
dlga_zadanie1chlop2gracz:zadanie1chlop2graczsay2|Perhaps, but that's none of your business.
dlga_zadanie1chlop2graczsay2:zadanie1chlop3|Perhaps, but that's none of your business.
dlga_zadanie1chlop3:zadanie1chlop2gracz1|I seen tha' right now in the tavern, sum kinna lord and his servants be staying. What they 'gon be doin', that I'unno, but sum kinna bad thing is a'brewing.
dlga_zadanie1chlop2gracz1:zadanie1chlop2gracz1say1|Do you know anything more?
dlga_zadanie1chlop2gracz1:close_window|Thanks for the advice, farewell.
dlga_zadanie1chlop2gracz1:zadanie1chlop2gracz3say2|I'll take care, take a coin in thanks.
dlga_zadanie1chlop2gracz3say2:zadanie1chlop1podziekowanie|I will watch out, have a coin, a good advice or warning is worth that.
dlga_zadanie1chlop2gracz1say1:zadanie1chlop4|Do you know anything more?
dlga_zadanie1chlop4:zadanie1chlop2gracz3|They took th' peasants and done thrown them outta the tavern... a Russian is leading them, that I heard of th' way he was speaking.
dlga_zadanie1chlop2gracz3:zadanie1chlop2gracz3say1|Thanks for the advice, farewell.
dlga_zadanie1chlop2gracz3say1:close_window|Thanks for the advice, farewell.
dlga_zadanie1chlop2gracz3:zadanie1chlop2gracz3say2|I'll take care, take a coin in thanks.
dlga_zadanie1chlop1podziekowanie:close_window|Ah, charitable sir, God bless you!
dlga_start:close_window.37|Leave.
dlga_start:zadanie1gracza|Who are you and where do you come from? Aren't you a companion of these scoundrels?
dlga_zadanie1gracza:zadanie1graczaa|I'm {playername}, a nobleman from the Crown. I'm returning to the Commonwealth from Hungary after a long absence. I was planning to stay a while in the tavern, then I heard the screams.
dlga_zadanie1graczaa:zadanie1ojciecodpowiedz1|May you no longer worry about these people, they lay defeated. And you are free.
dlga_zadanie1ojciecodpowiedz1:zadanie1dama1|Thank God! Thank you, sir, for saving us from our trouble, we've been already thinking we're going to get moved to God knows where... I'm Stanislaw Jablonowski, the son of Antoni, the Castellan of Krakow.
dlga_zadanie2ojciecodpowiedz1:zadanie1sakiewka1|As I presume, none of them were left alive? I'd be glad to ask them a couple questions otherwise, maybe they know a bit more...
dlga_zadanie1dama1:zadanie2ojciecodpowiedz1|Julian Ursyn Niemcewicz and from this day onwards your debtor. It was no accident they wanted to kidnap us. I overheard them talking, saying they were hired by the Targowica Confederates. Who else would dare to attack emissaries?
dlga_zadanie1sakiewka1:zadanie1sakiewka_end|As I said, you may find the corpses in the courtyard.
dlga_zadanie1sakiewka1:zadanie1sakiewka_end.1|The leader of those blackguards is alive. Do to him whatever you wish.
dlga_zadanie1sakiewka1:zadanie1sakiewka_end.2|I gave my word that I will let the leader go. Even the word given to the enemy should be respected.
dlga_zadanie1sakiewka_end:ojciecc1|Oh well, the important thing is, we're still alive, thanks to you. And now let's not waste any time, let's go to Krakow, before we run into some patrol. You'll go with us {playername}, if you beat up regular thugs, you might get away with it, but for Targowica's servants you would doubtlessly end up in the tower. And in our company you will remain safe... and without doubt do a service to the Fatherland.
dlga_zadanie1sakiewka_end:ojciecc1.1|Well, dlga_glistrozmowa1:glistrozmowa2|Who are you to question , even given to thugs and traitors. As a nobleman I understand, especially, since I owe you my life. And now let's not waste any time anymore, let's go to Krakow, before we run into some patrol. You'll go with us {playername}, if you beat up regular thugs, you might get away with it, but for Targowica's servants you would get at least ten years of prison. And in our company you will remain safe... and without doubt do a service to the Fatherland.
dlga_zadanie1sakiewka_end:ojciecc1.2|Excellent, as soon as we get to Krakow he'll go to the dungeon for interrogation. We'll learn everything he knows. Onwards to Krakow, before we run into some patrol. You'll go with us {playername}, 
dlga_ojciecc1:close_window|Right, let's go.
dlga_ojciecc1:ojciecc2|May I know why gentlemen you are travelling?
dlga_ojciecc2:ojciecc1|As I mentioned, we've been emissaries to Vienna, to the court of Emperor Francis. But that's not the right time for further explanations.
dlga_start:ojciecd1|One more thing, what happened to the leader of those bandits?
dlga_ojciecd1:ojciecd12|You see, he's an agent, a Russian spy. Of that, I have no doubt.
dlga_ojciecd12:ojciecd13|He had been sent to kidnap me!Apologies. I haven't introduced myself. My name is Jan Alojzy Jablonowski. Pleasure to meet you.travelling with my daughter from Vienna... I was in a confidential diplomatic mission.
dlga_ojciecd13:ojciecd14|I can trust you, As of now , you too are an enemy of the Empire and Targowica. {s0}, 
dlga_ojciecd14:ojciecd12say1|I cannot, I need him
dlga_ojciecd14:ojciecd12say2|He's yours.
dlga_ojciecd14:zadanie1graczkoniecsay1|Good, let's go.
dlga_ojciecd14:zadanie1graczkoniecsay2|For what purpose did you go to Vienna?
dlga_ojciecd12say1:ojciece2|I cannot, I need him.
dlga_ojciecd12say2:ojciece1|If that's so, he's yours.
dlga_ojciece1:zadanie1graczkoniec|Excellent, a wise choice, thank you once again.
dlga_ojciece2:zadanie1graczkoniec|If that's so, it's your choice, watch him.He knows too much...
dlga_zadanie1graczkoniec:zadanie1graczkoniecsay1|Good, let's go.
dlga_zadanie1graczkoniec:zadanie1graczkoniecsay2|For what purpose did you go to Vienna?
dlga_zadanie1graczkoniecsay1:close_window|We'll be on our way.
dlga_zadanie1graczkoniecsay2:ojciecf1|For what purpose did you go to Vienna?
dlga_ojciecf1:zadanie1graczkoniec|You will learn soon, now let's go, the sooner we vanish, the better.
dlga_start:quest_start_poddanie|Pax, pax! We can sort this out, right? After all it's just a neighborly dispute, nothing more...
dlga_quest_start_poddanie:quest_start_poddanie_reject|No-one insults me without severe consequences! , 
dlga_quest_start_poddanie_reject:close_window|No-one insults me without severe consequences!
dlga_start:quest_start_1|What do you want? Can't you see the tavern is closed?
dlga_quest_start_1:quest_start_11|Who the hell you are to order me around?
dlga_quest_start_11:close_window|If you won't go willingly, we'll teach you a lesson...you've heard too much anyway.
dlga_event_triggered:close_window.9|The patrol was successful Sir. {s0} is being guarded by {reg0} men. The size of the garrison is:^ {s1}, 
dlga_member_chat:szpieg_command|At your service, what do you wish?
dlga_szpieg_command:urlop|Propose a leave.
dlga_urlop:urlop2|What would you say about getting a leave?
dlga_urlop2:close_window|Of course, if I'm needed again, you know where to find me.
dlga_szpieg_command:szpieg_patrol|Carry out a patrol.
dlga_szpieg_command:close_window|Nothing, goodbye.
dlga_szpieg_patrol:szpieg_patrol2|Where shall I scout?
dlga_szpieg_patrol2:close_window|Nowhere.
dlga_szpieg_patrol2:close_window.1|{s4}, 
dlga_start:szpieg_info|Greetings good sir, wouldn't you need in your troop a man for special tasks? That would be espionage and all kinds of diversions, especially for taking fortresses.
dlga_event_triggered:close_window.10|I report with regret, the mission was a failure.
dlga_event_triggered:close_window.11|The gate was blown up as ordered.
dlga_szpieg_info:szpieg_decyzja|How much do I need? 1000 zlotys of front payment, then 200 weekly... not cheap, but I can be very useful to you, you'll see yourself.
dlga_szpieg_decyzja:szpieg_purchase|That's the man I need, you're hired.
dlga_szpieg_purchase:close_window|Excellent, I'll be ready to go soon.
dlga_szpieg_decyzja:szpieg_reject|I would, but I'm short on money.
dlga_szpieg_reject:close_window|Pity, when you get some you know where to look for me.
dlga_szpieg_decyzja:szpieg_leave|Maybe another time, goodbye.
dlga_szpieg_leave:close_window|Your will, if I'm needed, you know where to look for me.
dlga_start:brawler1pretalk|{s20}, I'm {playername}.
dlga_start:brawler2pretalk|{s20}, I'm {playername}.
dlga_brawler2pretalk:brawler2talk|{s20}, 
dlga_brawler2talk:brawler1talk_answer|{s20}, 
dlga_brawler1pretalk:brawler1talk|{s20}, 
dlga_brawler1talk:brawler1talk_answer|{s20}, 
dlga_brawler1talk_answer:close_window|Why not, gladly.
dlga_brawler1talk_answer:close_window.1|Not now, I have to go.
dlga_start:close_window.38|Ugly thing, when from a sheathe of silver a sword of lead is drawn, and a coward to boot, no trace of nobleman's honor in sight.
dlga_start:close_window.39|Enough for now, come another time.
dlga_start:close_window.40|Dishonorable do throw your weapon away during combat like that, goodbye.
dlga_start:close_window.41|Hah, I thought, that I'm fighting a honorable nobleman, but now I can see, you're not worthy to duel me.
dlga_start:close_window.42|{s20}, 
dlga_start:close_window.43|Congratulations, you are a fine marksman, here's the prize.
dlga_start:close_window.44|Enough for a week of hard drinking, duelling you {playername} is a real pleasure.
dlga_start:close_window.45|Hit the bullseye in the sky, seriously now... maybe you'll be luckier next time.
dlga_start:d_intro|Greetings, my name is {playername}.
dlga_d_intro:br_d_ac|Not the first time I heard on faires, brothels and taverns of your deeds, I'd gladly try your skill at sabre against mine.
dlga_d_intro:close_window|{playername}? First time I hear of you...
dlga_d_intro:br_d_ac.1|I recall your name, wonder if you're as good a soldier as the people say you are.
dlga_br_d_ac:pojedynek|Let us fight then.
dlga_br_d_ac:close_window|I have to go, farewell.
dlga_pojedynek:wybor|Excellent, take a pick, pistols or rapiers?
dlga_wybor:stawka|Pistols.
dlga_wybor:svp|Rapiers.
dlga_svp:svp2|Agreed, before we start, do we duel to the first blood?
dlga_svp2:stawka|I won't risk my life, first blood it is.
dlga_svp2:argh|Ah hell, glory or death!
dlga_argh:stawka|You're a brave one, you might regret that yet.
dlga_stawka:br_a|What's your bet?
dlga_br_a:br_b|500, 
dlga_br_a:br_b.1|1000, 
dlga_br_a:br_b.2|3000, 
dlga_br_a:close_window|Sadly, I'm broke.
dlga_br_b:close_window|I'll double that. May the best one win.
dlga_start:close_window.46|Let's go.
dlga_start:close_window.47|Let's be on our way.
dlga_start:merc_przemytnik_1|Hullo, wouldn't you be lookin' for some men in your comp'ny? Me and my brothers, we're looking for some honest work, to get food in our bellies and some coin in our purses. Wouldn't you happ'n to have something like that?
dlga_merc_przemytnik_1:merc_przemytnik_2|Luck is on your side, how many zlotys you want for the service?
dlga_merc_przemytnik_2:merc_przemytnik_22|Enough to cover the expenses, that being booze, girls and equipment...
dlga_merc_przemytnik_22:merc_przemytnik_3|800 zlotys should do the trick. We'd be ready to go today.
dlga_merc_przemytnik_3:merc_przemytnik_4|Deal, here's the cash, I'm hoping you're worth it.
dlga_merc_przemytnik_4:close_window|We'll do our best to convince our benefactor of that.
dlga_merc_przemytnik_3:merc_przemytnik_5|I'll take {reg5} of you.
dlga_merc_przemytnik_5:merc_przemytnik_6|You wanna split up companions? My heart is heavy, but you're gonna have to add 300 zlotys on top of that, otherwise - get out!
dlga_merc_przemytnik_6:close_window|Deal, here's your money.
dlga_merc_przemytnik_6:close_window.1|I don't have that much, I'll get going now.
dlga_merc_przemytnik_3:close_window|I wouldn't be able to afford my other needs, maybe another time, goodbye.
dlga_merc_przemytnik_1:close_window|I'm not looking for trouble, goodbye.
dlga_start:close_window.48|Let's go.
dlga_start:close_window.49|Let's be on our way.
dlga_start:merc_golota2_1|Hello sir, how may I serve you?
dlga_merc_golota2_1:merc_golota2_2|I'm looking for men, as an escort and for defense, don't you know anyone right for the job?
dlga_merc_golota2_2:merc_golota2_3|You're in the right place, me and my comrades, we've seen several wars, you'd be hard-pressed to find finer soldiers. For 700 zlotys we may join your company.jeno pamiętaj, że honor cenniejszy dla nas niż życie.
dlga_merc_golota2_3:merc_golota2_4|I'm glad to welcome you in my troop, here's the money.
dlga_merc_golota2_4:close_window|We'll do our best to convince our benefactor of that.
dlga_merc_golota2_3:merc_golota2_5|I can only hire {reg5} of you.
dlga_merc_golota2_5:merc_golota2_6|So be it, but we all have to have a livelihood... you see, 800 zlotys and not a coin below that.
dlga_merc_golota2_6:close_window|I'm glad to welcome you in my troop.
dlga_merc_golota2_6:close_window.1|Too expensive, goodbye.
dlga_merc_golota2_3:close_window|I can't afford you, farewell.
dlga_merc_golota2_1:close_window|Nothing, I have to go.
dlga_start:close_window.50|Let's go.
dlga_start:close_window.51|-Leave-, 
dlga_start:golota_1|Hail, good sir, I'm {playername}. Aren't you perhaps looking to join a decent company?
dlga_golota_1:golota_2|Hello, you're a godsend sir, I and my friends were looking out for someone willing to provide for us in exchange for our sabres, food and a handful of coins.
dlga_golota_2:golota_3|Excellent, may I know with whom am I talking?
dlga_golota_2:golota_f|I cannot hire you now.
dlga_golota_3:golota_odp|I'm {s0} coat of arms {s1} with {reg0} companions we're coming from the {s2} lands. We don't need much, each of us for 80 zlotys will loyally support you in any cause.
dlga_golota_odp:golota_odp_1|Hm, I can hire {reg6} of you.
dlga_golota_odp:close_window|I'm glad, welcome to my company.
dlga_golota_odp:golota_9|Costly, I can't afford it. Farewell.
dlga_golota_9:close_window|Your will, but know, that there's no shortage of scum in taverns and on the roads.
dlga_golota_f:close_window|Why are you asking, eh?
dlga_golota_odp_1:golota_odp_2|Deal, in this case it will be {reg5}.
dlga_golota_odp_2:close_window|I'm glad, welcome to my company.
dlga_golota_odp_2:golota_odp_3|Expensive, drop it by 50, we'll have a deal.
dlga_golota_odp_2:close_window.1|Costly. I can't afford it. Farewell.
dlga_golota_odp_3:close_window|We may be poor, but we have our honor. For that much you can hire some serfs, not blood and bone Sarmatians.
dlga_golota_odp_3:close_window.1|Today we live, tomorrow we rot, so be it.
dlga_golota_1:golota_5|I've heard of you. Dishonourable things. My honor is more precious than the gold in my purse.my honor is more precious than gold.
dlga_golota_5:golota_7|Recant it right now, or we're gonna fight. Nobody stains my honor with impunity!
dlga_golota_5:golota_honor|I'm partial to the thesis that everyone has their price. What would you say for a round thousand zlotys?
dlga_golota_5:close_window|Leave.
dlga_golota_honor:golota_2|Honor is one thing, stomach another...
dlga_golota_honor:close_window|Tis unworthy of a nobleman. Leave quick or I'll slap you with the flat of my sabre like I would any other churl.
dlga_golota_7:close_window|The noble brothers here witnessed it. You started the fight, not us.
dlga_start:close_window.52|Let's go.
dlga_start:klusownicy_1|Good day to you sir, wouldn't you be looking for some people to work or defend you? I and my companions, we've been looking for an honest job, a bunch of tough lads, we'll be of good service for you. Just think, the roads are dangerous, we'll serve for just food and a small wage.
dlga_klusownicy_1:klusownicy_cena|How much do you want?
dlga_klusownicy_1:klusownicy_info|And who would you be?
dlga_klusownicy_1:close_window|You don't seem trustworthy, outta way.
dlga_klusownicy_cena:klusownicy_negocjacje|Just enough to pay for the bullets, wenches and booze before we can go, 100 for each of the {reg0} of us, no less, but you're wealthy, so it's not much for you.
dlga_klusownicy_info:klusownicy_2|None of your business, either we have a deal or you can be on your way. So what will it be?
dlga_klusownicy_2:klusownicy_cena|Alright then, how much?
dlga_klusownicy_2:close_window|I'm not dealing with the likes of you... goodbye.
dlga_klusownicy_negocjacje:close_window|For that much I could be dead drunk all the way to Saint Jack's, come on now.
dlga_klusownicy_negocjacje:klusownicy_poz|You're not cheap, but you will be of use, here's the money.
dlga_klusownicy_negocjacje:klusownicy_poz_lub_neg|{reg6} and not a penny more.
dlga_klusownicy_poz:close_window|Generous, we'll repay the favor well, we can set out even just now.
dlga_klusownicy_poz_lub_neg:close_window|Khy, we could live a while without booze, deal.
dlga_klusownicy_poz_lub_neg:close_window.1|Wenches and booze are must-haves, can't have one without the other.
dlga_klusownicy_rada:close_window|As you wish. Be vigilant.
dlga_klusownicy_negocjacje:klusownicy_3|There's enough room in the troop for the {reg4} of you.
dlga_klusownicy_3:klusownicy_4|Hold up, I and my friends are one company...
dlga_klusownicy_4:klusownicy_5|So you'll pay, just 100 more, so they won't be starving.
dlga_klusownicy_5:klusownicy_poz|Deal, here's your cash.
dlga_klusownicy_5:klusownicy_rada|Fools, I should pay for men I'm not taking?
dlga_start:werbownik|Hello my friend! I can see, that you're quite a soldier! Wouldn't you want to gain the glory of joining the finest regiment of the undefeatable army of the Commonwealth?
dlga_werbownik:werbownik_a|And who are you?
dlga_werbownik:close_window|Leave.
dlga_werbownik_a:werbownik_b|A veteran of numerous battles and duels, on the fields of battle and love, heheh... if you know what I mean. Today, now that my youth is gone, Jesli pragniesz pojsc w moje slady I'm sitting in this tavern and enjoying the drinks, ladies, and other well-deserved fruits of glory. If you want to follow my path, and you will if you know what's good for you, I can help you, as our Marshall has entrusted me with the respectable function of a recruiter.
dlga_werbownik_b:werbownik_odp_a|And what kind of benefits I can expect from joining your army?
dlga_werbownik_b:werbownik_odp_b|That's what I wanted my entire life! Wenches, drinks, glory! Where do I sign?
dlga_werbownik_b:werbownik_odp_c|Army? That's not for me... I hate being degraded and being ordered around.
dlga_werbownik_odp_a:werbownik_wybor|Aha! A pragmatic man, that's what we need. I can see myself in you, when I was your age of course. The same shine in your eye! So I'm going to do you a favor and get you an officer's patent, thanks to which you'll be able to enter the high society. You'll also get a wage befitting your competences and an assignment of fresh recruits. And remember, that war is a very profitable business for our kind of people.
dlga_werbownik_odp_b:werbownik_wybor|Aha! An ambitious man, that's what we need. I can see myself in you, when I was your age of course. The same shine in your eye! So I'm going to do you a favor and get you an officer's patent, thanks to which you'll be able to enter the high society. You'll also get a wage befitting your competences and an assignment of fresh recruits. And remember, that war is a very profitable business for our kind of people.
dlga_werbownik_odp_c:werbownik_wybor|Aha! A temperamental man, that's what we need. I can see myself in you, when I was your age of course. The same shine in your eye! So I'm going to do you a favor and get you an officer's patent, thanks to which you'll be able to enter the high society. You'll also get a wage befitting your competences and an assignment of fresh recruits. And remember, that war is a very profitable business for our kind of people.
dlga_werbownik_wybor:werbownik_wybor_a|You convinced me. I will sign the contract.
dlga_werbownik_wybor:werbownik_wybor_b|I think I'm gonna resign.
dlga_werbownik_wybor_a:werbownik_wybor_c|In this case know, that upon signing you're joining the army of the Commonwealth and promise to protect her borders, fight her enemies and multiply the glory of her leader {s0}. You will carry out the Marshall's orders and will avoid rogue actions against the regulations. Your current company will be dissolved and dismissed.except for subordinates and companions, who agree to join the army with you. In exchange you will report to me to receive one of the regiments available for you. The service ends when you die only, chyba ze Dowodztwo zadecyduje inaczej. unless Command decides otherwise.
dlga_werbownik_wybor_b:close_window|Pity, great pity, if you change your mind, you know where to look for me.
dlga_werbownik_wybor_c:close_window|Done! From now on you might report for troops to me or one of my colleagues.
dlga_start:werbownik_rozmowa_2|Greetings to a man of enterprise! To what do I owe the pleasure? Business? Pleasure? Perhaps, finally, a manly decision to join the glorious ranks?
dlga_werbownik_rozmowa_2:werbownik_odp_a|How exactly would I benefit from joining this army of Yours?
dlga_werbownik_rozmowa_2:close_window|Leave without a word.
dlga_start:werbownik_k_awans|Hail, captain.
dlga_werbownik_k_awans:close_window|I always claimed that there's a great career fated for us pragmatic men. Pick your new regiment.
dlga_werbownik_k_awans:close_window.1|I always claimed that there's a great career fated for us ambitious men. Pick your new regiment.
dlga_werbownik_k_awans:close_window.2|I always claimed that there's a great career fated for clever men like us. Pick your new regiment.
dlga_start:nk_major|Greetings. I'm captain {playername}, I received a letter with an order to come here in order to receive a promotion.
dlga_nk_major:nk_major_a|Well met, I heard much of your services; you fought bravely for noble freedom on many a battlefield, not once forcing the enemy into a rout. I see a fine commander and soldier in you, we need just the kind of men.
dlga_nk_major_a:nk_major_b|I am therefore mighty glad to have the honor of bestowing upon you the rank of a Major in the service of the Commonwealth of Both Nations. Cease not in a fight for her glory with your experience and martial skill.
dlga_nk_major_b:close_window|I am honored, I shall not falter in acting towards once and for all forcing the enemy and the traitors out of the borders of our country.
dlga_start:close_window.53|...
"dlga_event_triggered:infiltracja_prawie_koniec_ale_jeszcze_nie_1|Stop! Oh fuck! I give up! I’ll tell you everything! All I know! But I beg you, don’t kill me.", "
"
dlga_infiltracja_prawie_koniec_ale_jeszcze_nie_1:infiltracja_prawie_koniec_ale_jeszcze_nie|No doubt. Traitors usually talk a lot.
dlga_infiltracja_prawie_koniec_ale_jeszcze_nie:infiltracja_prawie_koniec|Before I will abandon my sinful life. I've got my last will. Let’s catch that scumbag who betrayed his fellows and hang him. I must know that he will be punished."
"
"dlga_infiltracja_prawie_koniec:close_window|Enough! That man expiated his sins, there is no need to look for him. You'd better think about yourself, if you want to survive""
", 
"dlga_start:close_window.54|Treachery, my fellows! Kill them all!", "
"
"dlga_start:infiltracja_kryjowka|That men, accosted me in a inn and claimed to be my fellow, wasn’t he?", "
"
dlga_infiltracja_kryjowka:infiltracja_kryjowka_1|I can’t remember his face… Can you help me?"
"
dlga_infiltracja_kryjowka_1:infiltracja_kryjowka_r1|Story 1, 
"dlga_infiltracja_kryjowka_r1:infiltracja_kryjowka_3|Am I to help you remember myself? Do you remember those times when we drunk and ordered one streetwalker, because we wanted to economize? What kind of a friend you are? Only purpose to forgive you is the time. How much time passed? It was about 20 years…", 
dlga_infiltracja_kryjowka_1:infiltracja_kryjowka_r2|Story 2, 
"dlga_infiltracja_kryjowka_r2:infiltracja_kryjowka_f|Do you remember St. Mark’s Day, it was a market in Tykocin? It was the place where we met.", "
", "
", 
dlga_infiltracja_kryjowka_1:infiltracja_kryjowka_r3|Story 3, 
"dlga_infiltracja_kryjowka_r3:infiltracja_kryjowka_3|On a first Sunday after All Souls, it will be about 3 years now. We drunk in Chalice Inn… surely you remember a place and old Pavic, don’ t you?", "
", "
", 
dlga_infiltracja_kryjowka_1:infiltracja_kryjowka_r4|Story 4, 
"dlga_infiltracja_kryjowka_r4:infiltracja_kryjowka_3|It was the Rome Inn where we met 10 years ago. It was my cousin’s wedding, I think… Or it might have been someones else's… Who cares?"
"dlga_infiltracja_kryjowka_3:infiltracja_kryjowka_4|Well, maybe that's true. What do you want?""
", 
"dlga_infiltracja_kryjowka_4:infiltracja_kryjowka_5|So… For some time I have had some problems with my neighbour. Can I be in your company? I can prove myself useful.", "
"
"dlga_infiltracja_kryjowka_5:close_window|erm… So I have to consult with my companions… And you… Go to the town and bring some hooch, but be careful, those bastards are mixing it with water."
"dlga_infiltracja_kryjowka_f:infiltracja_kryjowka_ff|On St. Mark’s? Hmm… I was imprisoned in Krakow then. You are lying my little friend, you are only a little lying slime. Only because of our relationship…. You will be punished my friend.""
", "
"
dlga_infiltracja_kryjowka_ff:close_window|Tie a stone to his neck and throw him in the river, he's seen too much.
dlga_start:close_window.55|Still here? Get going or you'll miss them.
dlga_start:close_window.56|We're close, follow me.
dlga_start:infiltracja_1_main|What can I do for you?
dlga_start:infiltracja_1_main.1|Ha, you've got some strong arms. Ask for whatever you want, I know you're a good man.
dlga_start:close_window.57|Enough with the spectacle, if you want to be beat up again, feel free to come by.
dlga_start:infiltracja_3_plac|So? Shall we make a deal?
dlga_start:close_window.58|To arms, sir, before the nightfall if you don't mind.
dlga_start:close_window.59|Mister Officer, eh? Greetings...
dlga_start:infiltracja|G'day, what is up? Shall we have a drink?
dlga_start:infiltracja_walka|G'day, what is up? Shall we have a drink?
dlga_infiltracja:infiltracja_1|And who are you to ask? Do I know you?
dlga_infiltracja_1:infiltracja_1_1|You should.
dlga_infiltracja_1_1:infiltracja_2|Me?! You don't know me? Barnaba of Konikow! If it wasn't for me having a damn good day, I'd have you beat, tied to a saddle and sent off to Transylvania.
dlga_infiltracja_2:infiltracja_3|You can talk fast, wonder if you can take swings just quarter as quickly, eh?
dlga_infiltracja_3:close_window|Let's find out.
dlga_infiltracja_walka:infiltracja_walka_2|So, shall we test each other?
dlga_infiltracja_walka_2:close_window|Let's go.
dlga_infiltracja_walka_2:close_window.1|Eh, not now.
dlga_infiltracja_3:close_window.1|Eh, farewell.
dlga_infiltracja_2:infiltracja_1_main|Right, you do look like a damn strong man, pardon me. What can I do for you?
dlga_infiltracja_1_main:infiltracja_7|Lead me to your comrades, I'd like to talk to them.[Persuasion]
dlga_infiltracja_7:infiltracja_7a|Oh? Do you know what you're requesting?
dlga_infiltracja_7a:infiltracja_7ap|Go, I'm a friend of your boss's.
dlga_infiltracja_7ap:close_window|Guess you might be right, the mug's sorta similar... who knows, who knows... saddle up, let's go.
dlga_infiltracja_7ap:infiltracja_1_main|Ha, that's a good one! You're lying, swear to God! Our leader is a man of great many talents and just as much wisdom, he doesn't make friends with the likes of you.
dlga_infiltracja_1_main:infiltracja_3a|Just one thing I need to know, where are your comrades?[Bribe]
dlga_infiltracja_3a:infiltracja_3_plac|Heh, you think you can just go and ask for such a thing? I am a simple man, but I know what I know, the likes of you have your sacks filled with money, eh? And in that case, why don't we ease your burden a bit? Let's say, no more and no less than four round thousands, eh? Take it or leave it, sir... captain?
dlga_infiltracja_3_plac:infiltracja_3_plac1|Deal. Here's the money.
dlga_infiltracja_3_plac1:close_window|The hideout is in the forest nearby. You ought to find it without much trouble... and now leave me alone, I have to make my preparations for a journey. Long journey.
dlga_infiltracja_3_plac:infiltracja_3_plac2|I'm a bit short on cash at the moment.
dlga_infiltracja_3_plac2:close_window|Money? What monet? I remember nothing...
dlga_infiltracja_1_main:close_window|Nevermind, farewell.
dlga_infiltracja_1:close_window|Perhaps a mistake indeed, farewell.
dlga_start:ramun_introduce_1|Good day to you, {young man/lassie}.
dlga_ramun_introduce_1:ramun_introduce_2|Forgive me, you look like a trader, but I see none of your merchandise.
dlga_ramun_introduce_1:close_window|Never mind.
dlga_ramun_introduce_2:ramun_introduce_3|A trader? Oh, aye, I certainly am that. My merchandise is a bit different from most, however. It has to be fed and watered twice a day and tries to run away if I turn my back.
dlga_ramun_introduce_3:ramun_introduce_4|Livestock?
dlga_ramun_introduce_4:ramun_introduce_5|Close enough. I like to call myself the man who keeps every boat on this ocean moving. Boats are driven by oars, you see, and oars need men to pull them or they stop. That's where I come in.
dlga_ramun_introduce_5:ramun_introduce_6|Galley slaves.
dlga_ramun_introduce_6:ramun_introduce_7|Now you're catching on! A trading port like this couldn't survive without them. The ships lose a few hands on every voyage, so there's always a high demand. The captains come to me and they pay well.
dlga_ramun_introduce_7:ramun_introduce_8|Where do the slaves come from?
dlga_ramun_introduce_8:ramun_introduce_9|Mostly I deal in convicted criminals bought from the authorities. Others are prisoners of war from various nations, brought to me because I offer the best prices. However, on occasion I'll buy from privateers and other . . . 'individuals'. You can't be picky about your suppliers in this line of work. You wouldn't happen to have any prisoners with you, would you?
dlga_ramun_introduce_9:ramun_introduce_10|Me?
dlga_ramun_introduce_10:ramun_introduce_11|Why not? If you intend to set foot outside this town, you're going to cross swords with someone sooner or later. And, God willing, you'll come out on top. Why not make some extra money off the whole thing? Take them alive, bring them back to me, and I'll pay you fifty denars for each head. Don't much care who they are or where they come from.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm. I'll think about it.
dlga_ramun_introduce_12:close_window|Do think about it! There's a lot of silver to be made, no mistake. More than enough for the both of us.
dlga_start:ramun_talk|Hello, {playername}.
dlga_ramun_pre_talk:ramun_talk|Anything else?
dlga_ramun_talk:ramun_sell_prisoners|I've brought you some prisoners, Ramun. Would you like a look?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Let me see what you have...
dlga_ramun_sell_prisoners_2:close_window|A pleasure doing business with you.
dlga_ramun_talk:ramun_ask_about_capturing|How do I take somebody as prisoner?
dlga_ramun_talk:ramun_ask_about_capturing.1|Can you tell me again about capturing prisoners?
